"item","category"
"WHITE WINE SELECTION","WINE"
"RED WINE SELECTION","WINE"
"PREMIUM WHITE WINE","WINE"
"PREMIUM RED WINE","WINE"
"SPECIAL WINE COCKTAILS","WINE"
"DRAFT BEER","BEER"
"RAUCH BEER","BEER"
"SANKTGALLEN BEER - Golden","BEER"
"SANKTGALLEN BEER - Amber","BEER"
"SANKTGALLEN BEER - Brown","BEER"
"NON-ALCOHOLIC BEER","BEER"
"Talisker 10 years old","WHISKY - SCOTCH"
"Laphroaig 10 years old","WHISKY - SCOTCH"
"Ardbeg 10 years old","WHISKY - SCOTCH"
"Bowmore 12 years old","WHISKY - SCOTCH"
"Inchmurrin 12 years old","WHISKY - SCOTCH"
"Bunnahabhain 12 years old","WHISKY - SCOTCH"
"Macallan 12 years old","WHISKY - SCOTCH"
"Old Parr 12 years old","WHISKY - SCOTCH"
"Oban 14 years old","WHISKY - SCOTCH"
"Lagavulin 16 years old","WHISKY - SCOTCH"
"Smokehead","WHISKY - SCOTCH"
"Jim Beam","BOURBON,TENNESSEE"
"Wild Turkey 8 years old","BOURBON,TENNESSEE"
"I.W Harper","WHISKY - BOURBON,TENNESSEE"
"Bookers","WHISKY - BOURBON,TENNESSEE"
"Jack Daniel's","WHISKY - BOURBON,TENNESSEE"
"Bushmills","WHISKY - IRISH"
"Jameson","WHISKY - IRISH"
"Yoichi","WHISKY - JAPANESE"
"Hakushu 12 years old","WHISKY - JAPANESE"
"Yamazaki 12 years old","WHISKY - JAPANESE"
"Beefeater","SPIRITS - GIN"
"Bombay Sapphire","SPIRITS - GIN"
"Tanqueray","SPIRITS - GIN"
"Tanqueray No.10","SPIRITS - GIN"
"Hendrick's","SPIRITS - GIN"
"BBR No.3","SPIRITS - BBR"
"Absolut","SPIRITS - VODKA"
"Żubrówka","SPIRITS - VODKA"
"Ciroc","SPIRITS - VODKA"
"Bacardi","SPIRITS - RUM"
"Ronrico","SPIRITS - RUM"
"Myers's","SPIRITS - RUM"
"Sailor jerry","SPIRITS - RUM"
"Ron Zacapa Centenario 23 years old","SPIRITS - RUM"
"Sauza Silver","SPIRITS - TEQUILA"
"Herradura Plata","SPIRITS - TEQUILA"
"Cazadores anejo","SPIRITS - TEQUILA"
"Shirley Temple","NON-ALCOHORIC COCKTAILS"
"Saratoga Cooler","NON-ALCOHORIC COCKTAILS"
"Cassis Orange","NON-ALCOHORIC COCKTAILS"
"Wild Berry Soda","NON-ALCOHORIC COCKTAILS"
"Mix Berry Tea","NON-ALCOHORIC COCKTAILS"
"Coca-Cola","SODA POP"
"Wilkinson Ginger Ale","SODA POP"
"Appletiser","SODA POP"
"Sanpellegrino","SODA POP"
"Tonic Water","SODA POP"
"Orange Juice","JUICE,COFFEE,TEA"
"Grapefruit Juice","JUICE,COFFEE,TEA"
"Tomato Juice","JUICE,COFFEE,TEA"
"Smoked Coffee","JUICE,COFFEE,TEA"
"Coffee","JUICE,COFFEE,TEA"
"Tea","JUICE,COFFEE,TEA"
"Oolong Tea","JUICE,COFFEE,TEA"
"Tonic & Gin","COCKTAIL - GIN"
"Gin Buck","COCKTAIL - GIN"
"Gin & Lime","COCKTAIL - GIN"
"Gin Rickey","COCKTAIL - GIN"
"Vodka & Tonic","COCKTAIL - VODKA"
"Screw driver","COCKTAIL - VODKA"
"Moscowmule","COCKTAIL - VODKA"
"Bloody Mary","COCKTAIL - VODKA"
"Bull Dog","COCKTAIL - VODKA"
"Black Russian","COCKTAIL - VODKA"
"Rum & Tonic","COCKTAIL - RUM"
"Cuba River","COCKTAIL - RUM"
"Tequila & Tonic","COCKTAIL - TEQUILA"
"Tequila Sunrise","COCKTAIL - TEQUILA"
"Mexicoke","COCKTAIL - TEQUILA"
"Fuzzy Navel","COCKTAIL - LIQUEUR"
"Reggae Punch","COCKTAIL - LIQUEUR"
"Spumoni","COCKTAIL - LIQUEUR"
"China Blue","COCKTAIL - LIQUEUR"
"Cassis Orange","COCKTAIL - LIQUEUR"
"Campari Soda","COCKTAIL - LIQUEUR"
"Dita Grapefruit","COCKTAIL - LIQUEUR"
"Malibu Coke","COCKTAIL - LIQUEUR"
"Amaretto Ginger","COCKTAIL - LIQUEUR"
"Kir","COCKTAIL - OTHER"
"Kir Royal","COCKTAIL - OTHER"
"Mimosa","COCKTAIL - OTHER"
"Kitty","COCKTAIL - OTHER"
"Spritzer","COCKTAIL - OTHER"
"Shandy Gaff","COCKTAIL - OTHER"
"Red Eye","COCKTAIL - OTHER"
"Cassis & Beer","COCKTAIL - OTHER"
"Highball","COCKTAIL - OTHER"
