"item","description","category","price"
"Ahi Tuna Nachos","Pork Skins, Harissa & Lime Mayo, Satsuma Salsa, Feta Cheese","Appetizers","12"
"Wood-grilled Shrimp and Artichokes","Tasso Butter, Roasted Red Peppers, Grilled French Bread","Appetizers","16"
"Deviled Eggs","Choupique Caviar, Candied Bacon, Chow-chow Relish","Appetizers","12"
"Crab Claws R'evolution","Fried Claws, Sweet Chile Sauce, Jalapeño, Pickled Carrots","Appetizers","16"
"Beer-battered Crab Beignets","Four Rémoulades","Appetizers","18"
"Oysters on the Half Shell","Gulf Oysters Daily selections from around the country","Appetizers","10"
"Charbroiled Oysters","Gulf Oysters  Daily selections from around the country","Appetizers","10"
"Oyster Rockefeller","Spinach, Herbsaint, Monterey Jack, Parmesan","Appetizers","18"
"Tramonto's Caviar Staircase","Includes whitefish roe, salmon roe, wasabi tobiko and traditional garnish with the following black caviar options","Appetizers","25"
"Charcuterie and Cheese Board","San Daniele Prosciutto, Finocchiona, Flora Butcher Summer Sausage, Sweet Asher Blue,  Pimiento Cheese, Smokey Mountain Goat Cheese, Sweet Onion Jam, Creole Mustard,  House-made Pickles, Crostini","Appetizers","23"
"Tuna Tartare","Avocado Hummus, Charred Corn Salsa","Appetizers","12"
"Shrimp & Chorizo Skillet","Suffrito & Toasted French Bread","Appetizers","14"
"Meat & Cheese Slate","Beef Candle, Prosciutto, Marinated Olives, Whipped Feta","Appetizers","18"
"Tramonto's Caviar Staircase","Choupique & Russian Osetra Available. Includes whitefish roe, salmon roe, wasabi tobiko and traditional garnish with black caviar options. ","Appetizers","55"
"Pancakes and Syrup","For children","CHILDREN'S BRUNCH MENU","7"
"Sweet Potato Waffle","For children","CHILDREN'S BRUNCH MENU","7"
"Scrambled Eggs, Biscuit, Bacon","For children","CHILDREN'S BRUNCH MENU","9"
"Fruit Plate","For children","CHILDREN'S BRUNCH MENU","6"
"Kid’s Mini Platters","Choice of Chicken Strips, Catfish Strips, or Fried Shrimp","CHILDREN'S BRUNCH MENU","8"
